Title,genres,Director,Actors
Andre,Adventure|Children|Drama,George Miller,"Tina Majorino, Chelsea Field, Shane Meier, Aidan Pendleton"
Homeward Bound II: Lost in San Francisco,Adventure|Children,David R. Ellis,"Michael J. Fox, Sally Field, Ralph Waite, Al Michaels"
Romper Stomper,Action|Drama,Geoffrey Wright,"Russell Crowe, Daniel Pollock, Jacqueline McKenzie, Alex Scott"
Some Folks Call It a Sling Blade,Drama|Thriller,George Hickenlooper,"Billy Bob Thornton, Molly Ringwald, J.T. Walsh, Jefferson Mays"
Santa with Muscles,Comedy,John Murlowski,"Hulk Hogan, Don Stark, Robin Curtis, Garrett Morris"
Hard Rain,Action|Crime|Thriller,Mikael Salomon,"Morgan Freeman, Christian Slater, Randy Quaid, Minnie Driver"
Urban Legend,Horror|Thriller,Jamie Blanks,"Jared Leto, Alicia Witt, Rebecca Gayheart, Michael Rosenbaum"
Apt Pupil,Drama|Thriller,Bryan Singer,"Brad Renfro, Ian McKellen, Joshua Jackson, Mickey Cottrell"
Universal Soldier,Action|Sci-Fi,Roland Emmerich,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker, Ed O'Ross"
"Mystery, Alaska",Comedy|Drama,Jay Roach,"Russell Crowe, Hank Azaria, Mary McCormack, Burt Reynolds"
Cool as Ice,Drama,David Kellogg,"Naomi Campbell, Vanilla Ice, Deezer D, Kevin Hicks"
House Party,Comedy,Reginald Hudlin,"Christopher Reid, Robin Harris, Christopher Martin, Martin Lawrence"
Down to Earth,Comedy|Fantasy|Romance,"Chris Weitz, Paul Weitz","Chris Rock, Regina King, Chazz Palminteri, Eugene Levy"
Double Impact,Action,Sheldon Lettich,"Jean-Claude Van Damme, Geoffrey Lewis, Alonna Shaw, Corinna Everson"
Navy Seals,Action|Adventure|War,Lewis Teague,"Charlie Sheen, Michael Biehn, Joanne Whalley, Rick Rossovich"
Exit Wounds,Action|Thriller,Andrzej Bartkowiak,"Steven Seagal, DMX, Isaiah Washington, Anthony Anderson"
Tomcats,Comedy,Gregory Poirier,"Jerry O'Connell, Shannon Elizabeth, Jake Busey, Horatio Sanz"
Maybe Baby,Comedy|Romance,"Ben Elton, Hugh Laurie","Joely Richardson, Matthew Macfadyen, Hugh Laurie, Adrian Lester"
Eagle Eye,Action|Crime|Thriller|IMAX,D.J. Caruso,"Shia LaBeouf, Michelle Monaghan, Rosario Dawson, Michael Chiklis"
Ip Man,Action|Drama|War,Wilson Yip,"Donnie Yen, Simon Yam, Lynn Xiong, Hiroyuki Ikeuchi"
In the Loop,Comedy,Armando Iannucci,"Peter Capaldi, Harry Hadden-Paton, Samantha Harrington, Gina McKee"
Percy Jackson & the Olympians: The Lightning Thief,Adventure|Fantasy,Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel"
Green Zone,Action|Drama|Thriller|War,Paul Greengrass,"Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi"
Frozen,Drama|Horror|Thriller,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad"
Dinner for Schmucks,Comedy,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement"
Little Fockers,Comedy,Paul Weitz,"Robert De Niro, Ben Stiller, Owen Wilson, Dustin Hoffman"
I Am Number Four,Action|Sci-Fi|Thriller|IMAX,D.J. Caruso,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron"
Soul Surfer,Action|Drama,Sean McNamara,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood"
Attack the Block,Action|Comedy|Sci-Fi,Joe Cornish,"Jodie Whittaker, John Boyega, Alex Esmail, Leeon Jones"
Johnny English Reborn,Adventure|Comedy|Thriller,Oliver Parker,"Roger Barclay, Eric Carte, Rowan Atkinson, Togo Igawa"
Abduction,Action|Drama|Mystery|Thriller,John Singleton,"Jake Andolina, Oriah Acima Andrews, Ken Arnold, Maria Bello"
Tower Heist,Action|Comedy|Crime,Brett Ratner,"Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda"
This Means War,Action|Comedy|Romance,McG,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger"
Unbroken,Drama|War,Angelina Jolie,"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi"
Fracture,Crime|Drama|Mystery|Thriller,Gregory Hoblit,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike"
The Artist,Comedy|Drama|Romance,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell"
Ghost in the Shell 2: Innocence,Action|Animation|Drama|Sci-Fi|Thriller,Mamoru Oshii,"Akio Ôtsuka, Atsuko Tanaka, Kôichi Yamadera, Tamio Ohki"
Stay,Thriller,Marc Forster,"Ewan McGregor, Ryan Gosling, Kate Burton, Naomi Watts"
Open Season,Adventure|Animation|Children|Comedy|IMAX,"Roger Allers, Jill Culton, Anthony Stacchi(co-director)","Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing"
Happy Feet,Adventure|Animation|Children|Comedy|IMAX,"George Miller, Warren Coleman(co-director), Judy Morris(co-director)","Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez"
Blood and Chocolate,Drama|Fantasy|Horror|Romance,Katja von Garnier,"Agnes Bruckner, Hugh Dancy, Olivier Martinez, Katja Riemann"
Epic Movie,Adventure|Comedy,"Jason Friedberg, Aaron Seltzer","Kal Penn, Adam Campbell, Jennifer Coolidge, Jayma Mays"
Reno 911!: Miami,Comedy,Robert Ben Garant,"Lennie Loftin, Danny DeVito, Robert Ben Garant, Niecy Nash"
Absolute Power,Mystery|Thriller,Clint Eastwood,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney"
Return to Paradise,Crime|Drama|Romance|Thriller,Joseph Ruben,"Vince Vaughn, Anne Heche, Joaquin Phoenix, David Conrad"
My Blue Heaven,Comedy,Herbert Ross,"Steve Martin, Rick Moranis, Joan Cusack, Melanie Mayron"
Single White Female,Drama|Thriller,Barbet Schroeder,"Bridget Fonda, Jennifer Jason Leigh, Steven Weber, Peter Friedman"
Honeymoon in Vegas,Comedy|Romance,Andrew Bergman,"James Caan, Nicolas Cage, Sarah Jessica Parker, Pat Morita"
Everest,Documentary|IMAX,Baltasar Kormákur,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson"
My Best Fiend,Documentary,Werner Herzog,"Werner Herzog, Claudia Cardinale, Justo González, Paul Hittscher"
March of the Penguins,Documentary,Luc Jacquet,"Charles Berling, Romane Bohringer, Jules Sitruk, Morgan Freeman"
Black Sheep,Comedy,Jonathan King,"Matthew Chamberlain, Nick Fenton, Sam Clarke, Eli Kent"
Vegas Vacation,Comedy,Stephen Kessler,"Chevy Chase, Beverly D'Angelo, Randy Quaid, Ethan Embry"
Semi-Pro,Comedy,Kent Alterman,"Will Ferrell, Woody Harrelson, André Benjamin, Maura Tierney"
Couples Retreat,Comedy|Romance,Peter Billingsley,"Vince Vaughn, Jason Bateman, Faizon Love, Jon Favreau"
Grown Ups 2,Comedy,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade"
Anchorman 2: The Legend Continues,Comedy,Adam McKay,"Will Ferrell, Steve Carell, Paul Rudd, David Koechner"
Vacation,Adventure|Comedy,"John Francis Daley, Jonathan Goldstein","Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins"
Look Who's Talking Now,Children|Comedy|Romance,Tom Ropelewski,"John Travolta, Kirstie Alley, David Gallagher, Tabitha Lupien"
Look Who's Talking Too,Comedy|Romance,Amy Heckerling,"John Travolta, Kirstie Alley, Olympia Dukakis, Elias Koteas"
Team America: World Police,Action|Adventure|Animation|Comedy,Trey Parker,"Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo"
Stealing Beauty,Drama,Bernardo Bertolucci,"Carlo Cecchi, Sinéad Cusack, Joseph Fiennes, Jason Flemyng"
Underworld,Comedy|Thriller,Len Wiseman,"Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Brolly"
Avalon,Drama,Mamoru Oshii,"Malgorzata Foremniak, Wladyslaw Kowalski, Jerzy Gudejko, Dariusz Biskupski"
Stolen Summer,Drama,Pete Jones,"Aidan Quinn, Bonnie Hunt, Kevin Pollak, Eddie Kaye Thomas"
Max,Drama,Boaz Yakin,"Thomas Haden Church, Josh Wiggins, Luke Kleintank, Lauren Graham"
Point of No Return,Action|Thriller,John Badham,"Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Miguel Ferrer"
First Daughter,Comedy|Romance,Forest Whitaker,"Katie Holmes, Marc Blucas, Amerie, Michael Keaton"
My Sassy Girl,Comedy|Romance,Jae-young Kwak,"Tae-Hyun Cha, Ji-hyun Jun, In-mun Kim, Wok-suk Song"
Night Watch,Action|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Timur Bekmambetov,"Konstantin Khabenskiy, Vladimir Menshov, Valeriy Zolotukhin, Mariya Poroshina"
Flightplan,Action|Drama|Thriller,Robert Schwentke,"Jodie Foster, Peter Sarsgaard, Sean Bean, Kate Beahan"
Goal! The Dream Begins,Drama,Danny Cannon,"Leonardo Guerra, Tony Plana, Miriam Colon, Kuno Becker"
"Good Night, and Good Luck.",Crime|Drama,George Clooney,"Jeff Daniels, David Strathairn, Alex Borstein, Rose Abdoo"
Bee Season,Drama,"Scott McGehee, David Siegel","Richard Gere, Juliette Binoche, Flora Cross, Max Minghella"
Sophie Scholl: The Final Days,Drama|War,Marc Rothemund,"Julia Jentsch, Alexander Held, Fabian Hinrichs, Johanna Gastdorf"
Lady in the Water,Drama|Fantasy|Mystery,M. Night Shyamalan,"Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban"
Mr. Magoo,Comedy,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Matt Keeslar, Nick Chinlund"
Megiddo: The Omega Code 2,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Trenchard-Smith,"Michael York, Michael Biehn, Joseph Makkar, Guy Siner"
Hidden,Drama|Mystery|Thriller,"Matt Duffer, Ross Duffer","Alexander Skarsgård, Andrea Riseborough, Emily Alyn Lind, Steven Elliot"
Survive Style 5+,Fantasy|Mystery|Romance|Thriller,Gen Sekiguchi,"Tadanobu Asano, Reika Hashimoto, Kyôko Koizumi, Hiroshi Abe"
"Synecdoche, New York",Comedy|Drama,Charlie Kaufman,"Philip Seymour Hoffman, Catherine Keener, Sadie Goldstein, Tom Noonan"
Beasts of No Nation,Drama|War,Cary Joji Fukunaga,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote"
Rock-A-Doodle,Adventure|Animation|Children|Musical,"Don Bluth, Gary Goldman(co-director), Dan Kuenster(co-director)","Phil Harris, Glen Campbell, Eddie Deezen, Kathryn Holcomb"
Halloween II,Horror|Thriller,Rick Rosenthal,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers, Jeffrey Kramer"
Home for the Holidays,Drama,Jodie Foster,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning"
Nina Takes a Lover,Comedy|Romance,Alan Jacobs,"Laura San Giacomo, Paul Rhys, Michael O'Keefe, Cristi Conaway"
I Like It Like That,Comedy|Drama|Romance,Darnell Martin,"Luna Lauren Velez, Jon Seda, Tomas Melly, Desiree Casado"
Mr. Jones,Drama|Romance,Mike Figgis,"Richard Gere, Lena Olin, Anne Bancroft, Tom Irwin"
Love Jones,Romance,Theodore Witcher,"Larenz Tate, Nia Long, Isaiah Washington, Lisa Nicole Carson"
How Stella Got Her Groove Back,Drama|Romance,Kevin Rodney Sullivan,"Angela Bassett, Taye Diggs, Whoopi Goldberg, Regina King"
Holy Man,Comedy,Stephen Herek,"Eddie Murphy, Jeff Goldblum, Kelly Preston, Robert Loggia"
Beloved,Drama,Jonathan Demme,"Yada Beener, Emil Pinnock, Calen Johnson, Oprah Winfrey"
Belly,Crime|Drama,Hype Williams,"DMX, Nas, Hassan Johnson, Taral Hicks"
Home Fries,Comedy|Romance,Dean Parisot,"Drew Barrymore, Catherine O'Hara, Luke Wilson, Jake Busey"
Jack Frost,Children|Comedy|Drama,Troy Miller,"Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy"
Mighty Joe Young,Action|Adventure|Drama|Fantasy|Thriller,Ron Underwood,"Charlize Theron, Bill Paxton, Rade Serbedzija, Peter Firth"
Stepmom,Drama,Chris Columbus,"Julia Roberts, Susan Sarandon, Ed Harris, Jena Malone"
Down in the Delta,Drama,Maya Angelou,"Alfre Woodard, Al Freeman Jr., Mary Alice, Esther Rolle"
Addicted to Love,Comedy|Romance,Griffin Dunne,"Meg Ryan, Matthew Broderick, Kelly Preston, Tchéky Karyo"
Amistad,Drama|Mystery,Steven Spielberg,"Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou"
Death Becomes Her,Comedy|Fantasy,Robert Zemeckis,"Meryl Streep, Bruce Willis, Goldie Hawn, Isabella Rossellini"
Hidalgo,Adventure|Drama,Joe Johnston,"Viggo Mortensen, Zuleikha Robinson, Omar Sharif, Louise Lombard"
The Alamo,Drama|War|Western,John Lee Hancock,"Dennis Quaid, Billy Bob Thornton, Jason Patric, Patrick Wilson"
Babylon 5: In the Beginning,Adventure|Sci-Fi,Michael Vejar,"Bruce Boxleitner, Mira Furlan, Richard Biggs, Andreas Katsulas"
Babylon 5: A Call to Arms,Adventure|Sci-Fi,Michael Vejar,"Bruce Boxleitner, Jerry Doyle, Jeff Conaway, Carrie Dobro"
Babylon 5: The River of Souls,Drama|Sci-Fi,Janet Greek,"Jerry Doyle, Tracy Scoggins, Jeff Conaway, Richard Biggs"
Mumford,Comedy|Drama,Lawrence Kasdan,"Loren Dean, Hope Davis, Jason Lee, Alfre Woodard"
Liberty Heights,Drama,Barry Levinson,"Adrien Brody, Ben Foster, Orlando Jones, Bebe Neuwirth"
Keeping the Faith,Comedy|Drama|Romance,Edward Norton,"Ben Stiller, Edward Norton, Jenna Elfman, Anne Bancroft"
Sunshine,Drama,Danny Boyle,"Cliff Curtis, Chipo Chung, Cillian Murphy, Michelle Yeoh"
Fair Game,Action,Doug Liman,"Naomi Watts, Sonya Davison, Vanessa Chong, Anand Tiwari"
Hideaway,Thriller,Brett Leonard,"Jeff Goldblum, Christine Lahti, Alicia Silverstone, Jeremy Sisto"
Bitter Moon,Drama|Film-Noir|Romance,Roman Polanski,"Peter Coyote, Emmanuelle Seigner, Hugh Grant, Kristin Scott Thomas"
Blink,Thriller,Michael Apted,"Madeleine Stowe, Aidan Quinn, James Remar, Peter Friedman"
Basquiat,Drama,Julian Schnabel,"Jeffrey Wright, Michael Wincott, Benicio Del Toro, Claire Forlani"
Following,Crime|Mystery|Thriller,Christopher Nolan,"Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan"
Factotum,Drama,Bent Hamer,"Matt Dillon, Lili Taylor, Didier Flamand, Fisher Stevens"
Robot & Frank,Comedy|Drama|Sci-Fi,Jake Schreier,"Frank Langella, James Marsden, Liv Tyler, Peter Sarsgaard"
In the Heart of the Sea,Action|Adventure|Drama,Ron Howard,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson"
Rabid Dogs,Action|Thriller,Mario Bava,"Riccardo Cucciolla, Don Backy, Lea Lander, Maurice Poli"
A Cure for Wellness,Drama|Horror|Mystery|Thriller,Gore Verbinski,"Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi"
Kiss the Girls,Crime|Drama|Mystery|Thriller,Gary Fleder,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur"
Once,Drama|Musical|Romance,John Carney,"Glen Hansard, Markéta Irglová, Hugh Walsh, Gerard Hendrick"
Everybody's Fine,Drama,Kirk Jones,"Robert De Niro, Drew Barrymore, Kate Beckinsale, Sam Rockwell"
Butterfly,Drama,José Luis Cuerda,"Fernando Fernán Gómez, Manuel Lozano, Uxía Blanco, Gonzalo Uriarte"
Madame Satã,Drama,Karim Aïnouz,"Lázaro Ramos, Marcelia Cartaxo, Flavio Bauraqui, Fellipe Marques"
Mondays in the Sun,Drama,Fernando León de Aranoa,"Javier Bardem, Luis Tosar, José Ángel Egido, Nieve de Medina"
Monsieur Ibrahim,Drama,François Dupeyron,"Omar Sharif, Pierre Boulanger, Gilbert Melki, Isabelle Renauld"
Perfume: The Story of a Murderer,Crime|Drama|Thriller,Tom Tykwer,"Ben Whishaw, Francesc Albiol, Gonzalo Cunill, Roger Salvany"
Carrington,Drama|Romance,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West"
Picture Bride,Drama|Romance,Kayo Hatta,"Yûki Kudô, Cary-Hiroyuki Tagawa, Tamlyn Tomita, Akira Takayama"
Inventing the Abbotts,Drama|Romance,Pat O'Connor,"Joaquin Phoenix, Billy Crudup, Will Patton, Kathy Baker"
Forces of Nature,Comedy|Romance,Bronwen Hughes,"Ben Affleck, Sandra Bullock, Maura Tierney, Steve Zahn"
This Is My Father,Drama|Romance,Paul Quinn,"James Caan, Jacob Tierney, Colm Meaney, Moira Deady"
Xiu Xiu: The Sent-Down Girl,Drama,Joan Chen,"Xiaolu Li, Lopsang, Zheng Qian, Jie Gao"
Far and Away,Adventure|Drama|Romance,Ron Howard,"Tom Cruise, Nicole Kidman, Thomas Gibson, Robert Prosky"
Not One Less,Drama,Yimou Zhang,"Minzhi Wei, Huike Zhang, Zhenda Tian, Enman Gao"
Oliver Twist,Drama,Roman Polanski,"Barney Clark, Jeremy Swift, Ian McNeice, Richard Durden"
Steamboy,Action|Animation|Drama|Sci-Fi,Katsuhiro Ôtomo,"Anne Suzuki, Masane Tsukayama, Katsuo Nakamura, Manami Konishi"
Horton Hears a Who!,Adventure|Animation|Children|Comedy,"Jimmy Hayward, Steve Martino","Jim Carrey, Steve Carell, Carol Burnett, Will Arnett"
Geri's Game,Animation|Children,Jan Pinkava,Bob Peterson
Wolf Children,Animation|Fantasy,Mamoru Hosoda,"Aoi Miyazaki, Takao Ohsawa, Haru Kuroki, Yukito Nishii"
The Book of Life,Adventure|Animation|Romance,Jorge R. Gutiérrez,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman"
Patema Inverted,Adventure|Animation|Drama|Fantasy|Sci-Fi,Yasuhiro Yoshiura,"Yukiyo Fujii, Nobuhiko Okamoto, Shintarô Oohata, Shinya Fukumatsu"
When Marnie Was There,Animation|Drama,"James Simone, Hiromasa Yonebayashi","Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima"
Song of the Sea,Animation|Children|Fantasy,Tomm Moore,"David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan"
Minions,Adventure|Animation|Children|Comedy,"Kyle Balda, Pierre Coffin","Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney"
Inferno,Mystery|Thriller,Ron Howard,"Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan"
Resident Evil: Extinction,Action|Horror|Sci-Fi|Thriller,Russell Mulcahy,"Milla Jovovich, Oded Fehr, Ali Larter, Iain Glen"
G.I. Joe: The Rise of Cobra,Action|Adventure|Sci-Fi|Thriller,Stephen Sommers,"Adewale Akinnuoye-Agbaje, Christopher Eccleston, Grégory Fitoussi, Joseph Gordon-Levitt"
Gamer,Action|Sci-Fi|Thriller,"Mark Neveldine, Brian Taylor","Gerard Butler, Amber Valletta, Michael C. Hall, Kyra Sedgwick"
Due Date,Comedy,Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx"
Dredd,Action|Sci-Fi,Pete Travis,"Karl Urban, Rachel Wood, Andile Mngadi, Porteus Xandau"
Man of Steel,Action|Adventure|Fantasy|Sci-Fi|IMAX,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane"
World War Z,Action|Drama|Horror|IMAX,Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale"
Divergent,Adventure|Romance|Sci-Fi|IMAX,Neil Burger,"Shailene Woodley, Theo James, Ashley Judd, Jai Courtney"
PK,Comedy|Drama|Fantasy|Mystery|Romance,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Saurabh Shukla, Sanjay Dutt"
Frozen Fever,Adventure|Animation,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad"
Even Cowgirls Get the Blues,Comedy|Romance,Gus Van Sant,"Uma Thurman, Lorraine Bracco, Pat Morita, Angie Dickinson"
Snow Cake,Drama,Marc Evans,"Alan Rickman, Emily Hampshire, Jackie Brown, Callum Keith Rennie"
Notes on a Scandal,Drama,Richard Eyre,"Judi Dench, Cate Blanchett, Tom Georgeson, Michael Maloney"
Amateur,Crime|Drama|Thriller,Hal Hartley,"Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young"
Before the Rain,Drama|War,Milcho Manchevski,"Grégoire Colin, Josif Josifovski, Boris Delcevski, Dejan Velkov"
Geronimo: An American Legend,Drama|Western,Walter Hill,"Jason Patric, Gene Hackman, Robert Duvall, Wes Studi"
Romeo Is Bleeding,Crime|Thriller,Peter Medak,"Gary Oldman, Wallace Wood, Juliette Lewis, David Proval"
Sirens,Drama,John Duigan,"Hugh Grant, Tara Fitzgerald, Sam Neill, Pamela Rabe"
Men of Means,Action|Drama,George Mendeluk,"Kaela Dobkin, Raymond Serra, Austin Pendleton, Tony Cucci"
Chinese Box,Drama|Romance,Wayne Wang,"Jeremy Irons, Li Gong, Maggie Cheung, Michael Hui"
Poison Ivy,Drama|Thriller,Katt Shea,"Sara Gilbert, Drew Barrymore, Tom Skerritt, Cheryl Ladd"
Where the Heart Is,Comedy|Drama,Matt Williams,"Natalie Portman, Ashley Judd, Stockard Channing, Joan Cusack"
But I'm a Cheerleader,Comedy,Jamie Babbit,"Natasha Lyonne, Michelle Williams, Brandt Wille, Bud Cort"
Urbania,Drama,Jon Shear,"Dan Futterman, Sam Ball, Lothaire Bluteau, Alan Cumming"
Under Suspicion,Crime|Thriller,Stephen Hopkins,"Gene Hackman, Morgan Freeman, Thomas Jane, Monica Bellucci"
Josie and the Pussycats,Comedy,"Harry Elfont, Deborah Kaplan","Rachael Leigh Cook, Rosario Dawson, Tara Reid, Gabriel Mann"
Dancing at the Blue Iguana,Drama,Michael Radford,"Charlotte Ayanna, Kristin Bauer van Straten, W. Earl Brown, Daryl Hannah"
Wild Orchid,Drama|Romance,Zalman King,"Mickey Rourke, Jacqueline Bisset, Carré Otis, Assumpta Serna"
Blood Work,Crime|Drama|Mystery|Thriller,Clint Eastwood,"Clint Eastwood, Jeff Daniels, Anjelica Huston, Wanda De Jesus"
Biggie and Tupac,Documentary,Nick Broomfield,"The Notorious B.I.G., Tupac Shakur, Nick Broomfield, Russell Poole"
Russian Ark,Drama|Fantasy|War,Aleksandr Sokurov,"Sergey Dreyden, Mariya Kuznetsova, Leonid Mozgovoy, Mikhail Piotrovsky"
XX/XY,Drama|Romance,Austin Chick,"Mark Ruffalo, Maya Stange, Kathleen Robertson, Kel O'Neill"
All I Want,Comedy|Drama|Romance,West Liang,"Melissa Center, Renee Threatte, Giselle Gilbert, Bruce Lemon"
Hoffa,Crime|Drama,Danny DeVito,"Jack Nicholson, Danny DeVito, Armand Assante, J.T. Walsh"
EuroTrip,Adventure|Comedy,"Jeff Schaffer, Alec Berg(co-director), David Mandel(co-director)","Scott Mechlowicz, Jacob Pitts, Kristin Kreuk, Cathy Meils"
Night of the Living Dead,Horror,George A. Romero,"Duane Jones, Judith O'Dea, Karl Hardman, Marilyn Eastman"
I'll Sleep When I'm Dead,Crime|Drama,Mike Hodges,"Clive Owen, Charlotte Rampling, Jonathan Rhys Meyers, Malcolm McDowell"
Chicago Cab,Comedy|Drama,"Mary Cybulski, John Tintori","Paul Dillon, Tim Gamble, Olivia Trevino, Moira Sinise"
Hardware,Action|Horror|Sci-Fi,Richard Stanley,"Carl McCoy, Iggy Pop, Dylan McDermott, John Lynch"
Toys,Comedy|Fantasy,Barry Levinson,"Robin Williams, Michael Gambon, Joan Cusack, Robin Wright"
Along Came a Spider,Action|Crime|Mystery|Thriller,Lee Tamahori,"Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker"
Novocaine,Comedy|Crime|Mystery|Thriller,David Atkins,"Chelcie Ross, Steve Martin, Laura Dern, Lynne Thigpen"
Auto Focus,Crime|Drama,Paul Schrader,"Greg Kinnear, Willem Dafoe, Rita Wilson, Maria Bello"
Better Luck Tomorrow,Crime|Drama,Justin Lin,"Parry Shen, Jason Tobin, Shirley Anderson, Nanette Matoba"
Ratcatcher,Drama,Lynne Ramsay,"Tommy Flanagan, Mandy Matthews, William Eadie, Michelle Stewart"
Across the Universe,Drama|Fantasy|Musical|Romance,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs"
Heartless,Fantasy|Horror|Mystery|Thriller,Philip Ridley,"Jim Sturgess, Luke Treadaway, Clémence Poésy, Justin Salinger"
In a Better World,Drama,Susanne Bier,"Mikael Persbrandt, Wil Johnson, Eddy Kimani, Emily Mulaya"
We Need to Talk About Kevin,Drama|Thriller,Lynne Ramsay,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell"
Margin Call,Drama|Thriller,J.C. Chandor,"Kevin Spacey, Paul Bettany, Jeremy Irons, Zachary Quinto"
J. Edgar,Drama,Clint Eastwood,"Leonardo DiCaprio, Josh Hamilton, Geoff Pierson, Cheryl Lawson"
Weekend,Drama|Romance,Andrew Haigh,"Tom Cullen, Chris New, Jonathan Race, Laura Freeman"
On the Road,Adventure|Drama,Walter Salles,"Sam Riley, Garrett Hedlund, Kristen Stewart, Amy Adams"
Beasts of the Southern Wild,Drama|Fantasy,Benh Zeitlin,"Quvenzhané Wallis, Dwight Henry, Levy Easterly, Lowell Landes"
Killer Joe,Crime|Thriller,William Friedkin,"Matthew McConaughey, Emile Hirsch, Juno Temple, Thomas Haden Church"
Sidewalls,Drama,Gustavo Taretto,"Javier Drolas, Miguel Dedovich, Pilar López de Ayala, Miguel Alvarez"
Anna Karenina,Drama,Joe Wright,"Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey"
Amour,Drama|Romance,Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert, Alexandre Tharaud"
Capital,Drama,Costa-Gavras,"Gad Elmaleh, Gabriel Byrne, Natacha Régnier, Céline Sallette"
Lincoln,Drama|War,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt"
Only God Forgives,Drama|Thriller,Nicolas Winding Refn,"Ryan Gosling, Kristin Scott Thomas, Vithaya Pansringarm, Gordon Brown"
Frances Ha,Comedy|Drama,Noah Baumbach,"Greta Gerwig, Mickey Sumner, Michael Esper, Adam Driver"
Behind the Candelabra,Drama,Steven Soderbergh,"Matt Damon, Scott Bakula, Eric Zuckerman, Eddie Jemison"
Ida,Drama,Pawel Pawlikowski,"Agata Kulesza, Agata Trzebuchowska, Dawid Ogrodnik, Jerzy Trela"
Only Lovers Left Alive,Drama|Horror|Romance,Jim Jarmusch,"Tilda Swinton, Tom Hiddleston, Anton Yelchin, Mia Wasikowska"
Stranger by the Lake,Drama|Romance,Alain Guiraudie,"Pierre Deladonchamps, Christophe Paou, Patrick d'Assumçao, Jérôme Chappatte"
Inherent Vice,Comedy|Crime|Drama|Mystery|Romance,Paul Thomas Anderson,"Joanna Newsom, Katherine Waterston, Joaquin Phoenix, Jordan Christian Hearn"
Clouds of Sils Maria,Drama,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger"
